Rank,Name,Country,Stage,Gap,Team
1,Svein TUFT,Canada,1,+0,ORICA GREENEDGE
2,Luke DURBRIDGE,Australia,1,+0,ORICA GREENEDGE
3,Pieter WEENING,Netherlands,1,+0,ORICA GREENEDGE
4,Cameron MEYER,Australia,1,+0,ORICA GREENEDGE
5,Michael MATTHEWS,Australia,1,+0,ORICA GREENEDGE
6,Ivan SANTAROMITA,Italy,1,+0,ORICA GREENEDGE
7,Pieter SERRY,Belgium,1,+5,OMEGA PHARMA - QUICK-STEP
8,Gianluca BRAMBILLA,Italy,1,+5,OMEGA PHARMA - QUICK-STEP
9,Rigoberto URAN URAN,Colombia,1,+5,OMEGA PHARMA - QUICK-STEP
10,Serge PAUWELS,Belgium,1,+5,OMEGA PHARMA - QUICK-STEP
11,Julien VERMOTE,Belgium,1,+5,OMEGA PHARMA - QUICK-STEP
12,Alessandro PETACCHI,Italy,1,+5,OMEGA PHARMA - QUICK-STEP
13,Daniel OSS,Italy,1,+7,BMC RACING TEAM
14,Danilo WYSS,Switzerland,1,+7,BMC RACING TEAM
15,Cadel EVANS,Australia,1,+7,BMC RACING TEAM
16,Steve MORABITO,Switzerland,1,+7,BMC RACING TEAM
17,Samuel SANCHEZ GONZALEZ,Spain,1,+7,BMC RACING TEAM
18,Yannick EIJSSEN,Belgium,1,+9,BMC RACING TEAM
19,Thomas DE GENDT,Belgium,1,+22,OMEGA PHARMA - QUICK-STEP
20,Wouter POELS,Netherlands,1,+22,OMEGA PHARMA - QUICK-STEP
21,Brett LANCASTER,Australia,1,+22,ORICA GREENEDGE
22,Christopher JUUL JENSEN,Denmark,1,+23,TINKOFF - SAXO
23,Jay MCCARTHY,Australia,1,+23,TINKOFF - SAXO
24,Michael ROGERS,Australia,1,+23,TINKOFF - SAXO
25,Ivan ROVNY,Russia,1,+23,TINKOFF - SAXO
26,Pawel POLJANSKI,Poland,1,+23,TINKOFF - SAXO
27,Nicolas ROCHE,Ireland,1,+23,TINKOFF - SAXO
28,Rafal MAJKA,Poland,1,+23,TINKOFF - SAXO
29,Chris Anker SÖRENSEN,Denmark,1,+23,TINKOFF - SAXO
30,Ben SWIFT,Great Britain,1,+35,TEAM SKY
31,Dario CATALDO,Italy,1,+35,TEAM SKY
32,Philip DEIGNAN,Ireland,1,+35,TEAM SKY
33,Edvald BOASSON HAGEN,Norway,1,+35,TEAM SKY
34,Kanstantsin SIUTSOU,Belarus,1,+35,TEAM SKY
35,Salvatore PUCCIO,Italy,1,+35,TEAM SKY
36,Sebastian HENAO GOMEZ,Colombia,1,+35,TEAM SKY
37,Valerio AGNOLI,Italy,1,+38,ASTANA PRO TEAM
38,Janez BRAJKOVIC,Slovenia,1,+38,ASTANA PRO TEAM
39,Enrico GASPAROTTO,Italy,1,+38,ASTANA PRO TEAM
40,Michele SCARPONI,Italy,1,+38,ASTANA PRO TEAM
41,Borut BOZIC,Slovenia,1,+38,ASTANA PRO TEAM
42,Fabio ARU,Italy,1,+38,ASTANA PRO TEAM
43,Paolo TIRALONGO,Italy,1,+38,ASTANA PRO TEAM
44,Andrey ZEITS,Kazakhstan,1,+38,ASTANA PRO TEAM
45,Mikel LANDA MEANA,Spain,1,+38,ASTANA PRO TEAM
46,Iljo KEISSE,Belgium,1,+41,OMEGA PHARMA - QUICK-STEP
47,Manuel QUINZIATO,Italy,1,+52,BMC RACING TEAM
48,Elia VIVIANI,Italy,1,+53,CANNONDALE
49,Michel KOCH,Germany,1,+53,CANNONDALE
