Rank,Name,Country,Team Code,Age,ResultTime,Stage,Timegap1,Gap,Team
1,Simon GERRANS,Australia,OGE,35,19:26,1,+0,+0,ORICA GREENEDGE
2,Michael MATTHEWS,Australia,OGE,25,0,1,+0,+0,ORICA GREENEDGE
3,Michael HEPBURN,Australia,OGE,24,0,1,+0,+0,ORICA GREENEDGE
4,Pieter WEENING,Netherlands,OGE,34,0,1,+0,+0,ORICA GREENEDGE
5,Simon CLARKE,Australia,OGE,29,0,1,+0,+0,ORICA GREENEDGE
6,Jhoan Esteban CHAVES RUBIO,Colombia,OGE,25,0,1,+0,+0,ORICA GREENEDGE
7,Manuele BOARO,Italy,TCS,28,7,1,+7,+7,TINKOFF - SAXO
8,Roman KREUZIGER,Czech Republic,TCS,29,7,1,+7,+7,TINKOFF - SAXO
9,Michael ROGERS,Australia,TCS,36,7,1,+7,+7,TINKOFF - SAXO
10,Alberto CONTADOR VELASCO,Spain,TCS,33,7,1,+7,+7,TINKOFF - SAXO
11,Christopher JUUL JENSEN,Denmark,TCS,26,7,1,+7,+7,TINKOFF - SAXO
12,Ivan ROVNY,Russia,TCS,28,7,1,+7,+7,TINKOFF - SAXO
13,Fabio ARU,Italy,AST,25,13,1,+13,+13,ASTANA PRO TEAM
14,Paolo TIRALONGO,Italy,AST,38,13,1,+13,+13,ASTANA PRO TEAM
15,Diego ROSA,Italy,AST,26,13,1,+13,+13,ASTANA PRO TEAM
16,Dario CATALDO,Italy,AST,30,13,1,+13,+13,ASTANA PRO TEAM
17,Andrey ZEITS,Kazakhstan,AST,29,13,1,+13,+13,ASTANA PRO TEAM
18,Luis Leon SANCHEZ GIL,Spain,AST,32,13,1,+13,+13,ASTANA PRO TEAM
19,Tanel KANGERT,Estonia,AST,28,13,1,+13,+13,ASTANA PRO TEAM
20,Mikel LANDA MEANA,Spain,AST,26,13,1,+13,+13,ASTANA PRO TEAM
21,Davide MALACARNE,Italy,AST,28,13,1,+13,+13,ASTANA PRO TEAM
22,Tom BOONEN,Belgium,EQS,35,19,1,+19,+19,ETIXX - QUICK STEP
23,Gianni MEERSMAN,Belgium,EQS,30,19,1,+19,+19,ETIXX - QUICK STEP
24,Petr VAKOC,Czech Republic,EQS,23,19,1,+19,+19,ETIXX - QUICK STEP
25,Maxime BOUET,France,EQS,29,19,1,+19,+19,ETIXX - QUICK STEP
26,Pieter SERRY,Belgium,EQS,27,19,1,+19,+19,ETIXX - QUICK STEP
27,Rigoberto URAN URAN,Colombia,EQS,28,19,1,+19,+19,ETIXX - QUICK STEP
28,Juan Jose LOBATO DEL VALLE,Spain,MOV,27,21,1,+21,+21,MOVISTAR TEAM
29,Jesus HERRADA LOPEZ,Spain,MOV,25,21,1,+21,+21,MOVISTAR TEAM
30,Jon IZAGUIRRE INSAUSTI,Spain,MOV,26,21,1,+21,+21,MOVISTAR TEAM
31,Ruben FERNANDEZ,Spain,MOV,24,21,1,+21,+21,MOVISTAR TEAM
32,Benat INTXAUSTI ELORRIAGA,Spain,MOV,29,21,1,+21,+21,MOVISTAR TEAM
33,Giovanni VISCONTI,Italy,MOV,32,21,1,+21,+21,MOVISTAR TEAM
34,Igor ANTON HERNANDEZ,Spain,MOV,32,21,1,+21,+21,MOVISTAR TEAM
35,Andrey AMADOR BAKKAZAKOVA,Costa Rica,MOV,29,21,1,+21,+21,MOVISTAR TEAM
36,Sylvain CHAVANEL,France,IAM,36,25,1,+25,+25,IAM CYCLING
37,Stef CLEMENT,Netherlands,IAM,33,25,1,+25,+25,IAM CYCLING
38,Aleksejs SARAMOTINS,Latvia,IAM,33,25,1,+25,+25,IAM CYCLING
39,Sébastien REICHENBACH,Switzerland,IAM,26,25,1,+25,+25,IAM CYCLING
40,Heinrich HAUSSLER,Australia,IAM,31,25,1,+25,+25,IAM CYCLING
41,Damiano CARUSO,Italy,BMC,28,25,1,+25,+25,BMC RACING TEAM
42,Philippe GILBERT,Belgium,BMC,33,25,1,+25,+25,BMC RACING TEAM
43,Brent BOOKWALTER,United States,BMC,31,25,1,+25,+25,BMC RACING TEAM
44,Rick ZABEL,Germany,BMC,22,25,1,+25,+25,BMC RACING TEAM
45,Stefan KUENG,Switzerland,BMC,22,25,1,+25,+25,BMC RACING TEAM
46,Amaël MOINARD,France,BMC,33,25,1,+25,+25,BMC RACING TEAM
47,Silvan DILLIER,Switzerland,BMC,25,25,1,+25,+25,BMC RACING TEAM
48,Darwin ATAPUMA HURTADO,Colombia,BMC,27,25,1,+25,+25,BMC RACING TEAM
49,Marcus BURGHARDT,Germany,BMC,32,25,1,+25,+25,BMC RACING TEAM
50,Francis MOUREY,France,FDJ,35,26,1,+26,+26,FDJ
51,Murilo Antonio FISCHER,Brazil,FDJ,36,26,1,+26,+26,FDJ
52,Alexandre GENIEZ,France,FDJ,27,26,1,+26,+26,FDJ
53,Kévin REZA,France,FDJ,27,26,1,+26,+26,FDJ
54,Kenny ELISSONDE,France,FDJ,24,26,1,+26,+26,FDJ
55,Anthony ROUX,France,FDJ,28,26,1,+26,+26,FDJ
56,Leopold KONIG,Czech Republic,SKY,28,27,1,+27,+27,TEAM SKY
57,Richie PORTE,Australia,SKY,30,27,1,+27,+27,TEAM SKY
58,Salvatore PUCCIO,Italy,SKY,26,27,1,+27,+27,TEAM SKY
59,Elia VIVIANI,Italy,SKY,26,27,1,+27,+27,TEAM SKY
60,Kanstantsin SIUTSOU,Belarus,SKY,33,27,1,+27,+27,TEAM SKY
61,Mikel NIEVE ITURALDE,Spain,SKY,31,27,1,+27,+27,TEAM SKY
62,Sebastian HENAO GOMEZ,Colombia,SKY,22,27,1,+27,+27,TEAM SKY
63,Vasil KIRYIENKA,Belarus,SKY,34,27,1,+27,+27,TEAM SKY
64,Yury TROFIMOV,Russia,KAT,31,27,1,+27,+27,TEAM KATUSHA
65,Anton VOROBYEV,Russia,KAT,25,27,1,+27,+27,TEAM KATUSHA
66,Sergey LAGUTIN,Russia,KAT,34,27,1,+27,+27,TEAM KATUSHA
67,Luca PAOLINI,Italy,KAT,38,27,1,+27,+27,TEAM KATUSHA
68,Alexander PORSEV,Russia,KAT,29,27,1,+27,+27,TEAM KATUSHA
69,Ilnur ZAKARIN,Russia,KAT,26,27,1,+27,+27,TEAM KATUSHA
70,Giacomo NIZZOLO,Italy,TFR,26,29,1,+29,+29,TREK FACTORY RACING
71,Kristof VANDEWALLE,Belgium,TFR,30,29,1,+29,+29,TREK FACTORY RACING
72,Fabio FELLINE,Italy,TFR,25,29,1,+29,+29,TREK FACTORY RACING
73,Boy VAN POPPEL,Netherlands,TFR,27,29,1,+29,+29,TREK FACTORY RACING
74,Fabio SILVESTRE,Portugal,TFR,25,29,1,+29,+29,TREK FACTORY RACING
75,Jurgen VAN DEN BROECK,Belgium,LTS,32,29,1,+29,+29,LOTTO SOUDAL
