latitude,longitude,altitude (m),distance (km),distance_interval (m),StageNum,TotalDistance
43.8534692,7.96414375,13,0,0,1,0
43.84497,7.92858,29,3.164,30.58,1,3.16392
43.83767,7.88746,4,7.222,18.5,1,7.22159
43.83561,7.85218,12,10.262,27.44,1,10.26242
43.81996,7.82261,22,13.902,28.71,1,13.90227
43.82016,7.78314,15,17.397,80.35,1,17.39674
44.02471,8.19538,41,2.807,9.82,2,20.47098
44.00098,8.16574,12,6.772,14.18,2,24.43557
43.96042,8.16986,80,11.692,60.3,2,29.35645
43.94887,8.13952,18,15.231,0.8,2,32.89465
43.98477,8.131,30,19.584,5.78,2,37.24756
44.00257,8.09973,74,23.01,28.43,2,40.67398
43.999,8.05344,172,26.963,81.93,2,44.62746
43.99716,8.03457,250,28.919,13.26,2,46.58318
44.00286,8.0371,311,30.652,33.42,2,48.316
44.00263,8.0234,421,32.472,7.16,2,50.13634
44.00664,8.03456,438,34.237,41.63,2,51.90055
44.01378,8.05616,483,36.532,43.8,2,54.19631
44.01433,8.07272,432,38.086,10.96,2,55.75051
44.01584,8.09332,433,40.113,41.81,2,57.77745
44.01477,8.11215,428,42.049,30.07,2,59.71284
44.00894,8.13077,401,44.119,10.61,2,61.78262
44.01226,8.1413,382,45.878,33.34,2,63.5422
44.02583,8.1378,288,47.698,11.11,2,65.36235
44.03123,8.14293,211,49.319,35.22,2,66.98341
44.03152,8.1362,94,50.695,7.21,2,68.35915
44.04492,8.13778,32,53.713,175.87,2,71.37716
44.04573,8.17983,15,57.465,14.81,2,75.12876
44.06885,8.2155,3,62.659,141.2,2,80.32294
44.11058,8.2423,6,67.901,22.35,2,85.56495
44.14229,8.27231,3,72.252,38.1,2,89.91627
44.15699,8.30586,4,75.579,19.71,2,93.24345
44.17353,8.36563,19,81.022,20.71,2,98.68572
44.19247,8.42114,48,86.249,27.44,2,103.91309
44.2123,8.41697,16,89.103,118.95,2,106.76701
44.23792,8.43763,9,93.031,1.11,2,110.69478
44.25542,8.452,6,95.779,12.63,2,113.44316
44.2936,8.45718,7,101.127,32.3,2,118.79072
44.31635,8.49135,11,105.297,95.75,2,122.96104
44.33769,8.54189,24,110.403,20.25,2,128.06715
44.34656,8.56411,15,112.783,9.83,2,130.44741
44.3609,8.59194,18,116.154,20.05,2,133.81777
44.37014,8.61456,74,118.468,11.94,2,136.1317
44.37701,8.62816,35,120.432,55.27,2,138.09632
44.38729,8.63535,50,122.691,6.67,2,140.35481
44.39537,8.62226,190,124.537,5.27,2,142.2007
44.40221,8.61665,193,126.194,22.58,2,143.85795
44.40744,8.63089,178,128.229,11.8,2,145.89262
44.40374,8.65044,97,130.246,60.16,2,147.91003
44.39252,8.66515,20,132.502,50.6,2,150.16606
44.40034,8.67997,19,134.727,5.97,2,152.39102
44.41471,8.70681,29,137.771,61.82,2,155.43539
44.42628,8.74049,18,140.996,12.31,2,158.6602
44.42315,8.8079,12,146.576,18.45,2,164.24017
44.4182,8.8592,11,151.279,15.64,2,168.94327
44.40829,8.9024,21,155.395,12.81,2,173.05891
44.41621,8.92825,47,158.656,7.08,2,176.32012
44.4229,8.92958,150,160.698,31.26,2,178.36167
44.42482,8.92162,129,163.086,11.37,2,180.74965
44.4163,8.91366,35,165.309,149.38,2,182.97283
44.41989,8.91877,42,166.652,2.39,2,184.31623
44.42131,8.92498,114,168.435,50.72,2,186.09843
44.42338,8.92253,164,171.266,44.49,2,188.93039
44.41816,8.92187,50,172.632,101.02,2,190.2954
44.34375,9.22613,49,1.268,15.14,3,192.26239
44.3449,9.21097,193,3.195,14.4,3,194.18858
44.33918,9.18425,209,5.544,30.32,3,196.53758
44.34779,9.16654,220,8.21,35.94,3,199.20358
44.35789,9.14575,43,10.61,16.5,3,201.60403
44.37342,9.15213,35,13.019,116.11,3,204.01304
44.38553,9.16458,89,15.572,26.54,3,206.56569
44.39901,9.16497,143,17.438,12.99,3,208.43183
44.40411,9.16563,233,19.095,13.6,3,210.08932
44.41066,9.16395,321,20.82,42.7,3,211.81381
44.41469,9.15988,394,22.062,17.66,3,213.05584
44.41863,9.14935,462,23.477,17.85,3,214.47122
44.42372,9.16537,423,25.425,11.2,3,216.41916
44.42054,9.1685,351,26.892,36.75,3,217.88607
44.42158,9.18106,274,28.608,19.04,3,219.60175
44.42374,9.17932,223,29.887,10.5,3,220.88137
44.42973,9.18257,154,31.58,36.45,3,222.57367
44.43876,9.15545,214,34.458,70.89,3,225.45238
44.44502,9.13497,246,36.864,12.78,3,227.85793
44.46366,9.13447,377,39.791,73.27,3,230.78493
44.46765,9.12571,527,43.008,56.05,3,234.00195
44.46838,9.11821,629,45.746,19.57,3,236.74029
44.49835,9.1392,704,50.866,48,3,241.85944
44.51843,9.15831,767,54.12,11.04,3,245.11357
44.52308,9.16263,873,55.995,21.25,3,246.98849
44.53142,9.16641,979,57.65,6.71,3,248.64441
44.53191,9.17419,981,59.226,13.91,3,250.21956
44.53887,9.17919,895,60.884,20.63,3,251.87835
44.54855,9.17468,896,62.907,14.53,3,253.90078
44.55574,9.17394,893,64.656,34.94,3,255.64993
44.56728,9.18086,949,66.698,13.5,3,257.69168
44.55979,9.18412,985,68.73,20.04,3,259.72331
