Rank,Name,Country,Stage,Gap,Team
1,Marcel KITTEL,Germany,1,+0,TEAM GIANT-SHIMANO
2,Peter SAGAN,Slovakia,1,+0,CANNONDALE
3,Ramunas NAVARDAUSKAS,Lithuania,1,+0,GARMIN
4,Bryan COQUARD,France,1,+0,TEAM EUROPCAR
5,Michael ROGERS,Australia,1,+0,TINKOFF - SAXO
6,Christopher FROOME,Great Britain,1,+0,TEAM SKY
7,Alexander KRISTOFF,Norway,1,+0,TEAM KATUSHA
8,Sep VANMARCKE,Belgium,1,+0,BELKIN
9,Jose Joaquin ROJAS GIL,Spain,1,+0,MOVISTAR TEAM
10,Michael ALBASINI,Switzerland,1,+0,ORICA GREENEDGE
11,Fabian CANCELLARA,Switzerland,1,+0,TREK FACTORY RACING
12,Paul VOSS,Germany,1,+0,TEAM NETAPP - ENDURA
13,Greg VAN AVERMAET,Belgium,1,+0,BMC RACING TEAM
14,Martin ELMIGER,Switzerland,1,+0,IAM CYCLING
15,Samuel DUMOULIN,France,1,+0,AG2R LA MONDIALE
16,Simon CLARKE,Australia,1,+0,ORICA GREENEDGE
17,Geraint THOMAS,Great Britain,1,+0,TEAM SKY
18,André GREIPEL,Germany,1,+0,LOTTO
19,Koen DE KORT,Netherlands,1,+0,TEAM GIANT-SHIMANO
20,Jurgen VAN DEN BROECK,Belgium,1,+0,LOTTO
21,Bauke MOLLEMA,Netherlands,1,+0,BELKIN
22,Alberto CONTADOR VELASCO,Spain,1,+0,TINKOFF - SAXO
23,Tiago MACHADO,Portugal,1,+0,TEAM NETAPP - ENDURA
24,Alejandro VALVERDE BELMONTE,Spain,1,+0,MOVISTAR TEAM
25,Janier Alexis ACEVEDO COLLE,Colombia,1,+0,GARMIN
26,Leopold KONIG,Czech Republic,1,+0,TEAM NETAPP - ENDURA
27,Sylvain CHAVANEL,France,1,+0,IAM CYCLING
28,Richie PORTE,Australia,1,+0,TEAM SKY
29,Jakob FUGLSANG,Denmark,1,+0,ASTANA PRO TEAM
30,Anthony DELAPLACE,France,1,+0,BRETAGNE-SECHE ENVIRONNEMENT
31,Rui Alberto FARIA DA COSTA,Portugal,1,+0,LAMPRE - MERIDA
32,Tejay VAN GARDEREN,United States,1,+0,BMC RACING TEAM
33,Haimar ZUBELDIA AGIRRE,Spain,1,+0,TREK FACTORY RACING
34,Vincenzo NIBALI,Italy,1,+0,ASTANA PRO TEAM
35,Jean-Christophe PERAUD,France,1,+0,AG2R LA MONDIALE
36,Romain BARDET,France,1,+0,AG2R LA MONDIALE
37,Armindo FONSECA,France,1,+0,BRETAGNE-SECHE ENVIRONNEMENT
38,Tanel KANGERT,Estonia,1,+0,ASTANA PRO TEAM
39,Steven KRUIJSWIJK,Netherlands,1,+0,BELKIN
40,Bram TANKINK,Netherlands,1,+0,BELKIN
41,Thibaut PINOT,France,1,+0,FDJ
42,Arthur VICHOT,France,1,+0,FDJ
43,Tom Jelte SLAGTER,Netherlands,1,+0,GARMIN
44,Andy SCHLECK,Luxembourg,1,+0,TREK FACTORY RACING
45,Peter VELITS,Slovakia,1,+0,BMC RACING TEAM
46,Nicolas ROCHE,Ireland,1,+0,TINKOFF - SAXO
47,Mikel NIEVE ITURALDE,Spain,1,+0,TEAM SKY
48,Jan BARTA,Czech Republic,1,+0,TEAM NETAPP - ENDURA
49,Jon IZAGUIRRE INSAUSTI,Spain,1,+0,MOVISTAR TEAM
50,Jérôme PINEAU,France,1,+0,IAM CYCLING
51,Danny VAN POPPEL,Netherlands,1,+0,TREK FACTORY RACING
52,Bartosz HUZARSKI,Poland,1,+0,TEAM NETAPP - ENDURA
53,Romain FEILLU,France,1,+0,BRETAGNE-SECHE ENVIRONNEMENT
54,Mathias FRANK,Switzerland,1,+0,IAM CYCLING
55,Brice FEILLU,France,1,+0,BRETAGNE-SECHE ENVIRONNEMENT
56,Jack BAUER,New Zealand,1,+0,GARMIN
57,Pierre ROLLAND,France,1,+0,TEAM EUROPCAR
58,Laurens TEN DAM,Netherlands,1,+0,BELKIN
59,Frank SCHLECK,Luxembourg,1,+0,TREK FACTORY RACING
60,Arnaud DEMARE,France,1,+0,FDJ
61,Simon YATES,Great Britain,1,+0,ORICA GREENEDGE
62,Lieuwe WESTRA,Netherlands,1,+0,ASTANA PRO TEAM
63,Nelson Filipe SANTOS SIMOES OLIVEIRA,Portugal,1,+0,LAMPRE - MERIDA
64,Christopher HORNER,United States,1,+0,LAMPRE - MERIDA
65,Cyril GAUTIER,France,1,+0,TEAM EUROPCAR
66,Michele SCARPONI,Italy,1,+0,ASTANA PRO TEAM
67,Darwin ATAPUMA HURTADO,Colombia,1,+0,BMC RACING TEAM
68,Ben GASTAUER,Luxembourg,1,+0,AG2R LA MONDIALE
69,Peter STETINA,United States,1,+0,BMC RACING TEAM
70,Grégory RAST,Switzerland,1,+0,TREK FACTORY RACING
71,Egor SILIN,Russia,1,+0,TEAM KATUSHA
72,Jose Rodolfo SERPA PEREZ,Colombia,1,+0,LAMPRE - MERIDA
73,Jesus HERRADA LOPEZ,Spain,1,+0,MOVISTAR TEAM
74,Markel IRIZAR ARANBURU,Spain,1,+0,TREK FACTORY RACING
75,Alexander PORSEV,Russia,1,+0,TEAM KATUSHA
76,Thomas VOECKLER,France,1,+0,TEAM EUROPCAR
77,Sébastien REICHENBACH,Switzerland,1,+0,IAM CYCLING
78,Yury TROFIMOV,Russia,1,+0,TEAM KATUSHA
79,Biel KADRI,France,1,+0,AG2R LA MONDIALE
80,Andriy GRIVKO,Ukraine,1,+0,ASTANA PRO TEAM
81,Amaël MOINARD,France,1,+0,BMC RACING TEAM
82,David LOPEZ GARCIA,Spain,1,+0,TEAM SKY
83,Matthew BUSCHE,United States,1,+0,TREK FACTORY RACING
84,Fabio SABATINI,Italy,1,+0,CANNONDALE
85,Tom DUMOULIN,Netherlands,1,+0,TEAM GIANT-SHIMANO
86,Rudy MOLARD,France,1,+0,"COFIDIS, SOLUTIONS CREDITS"
87,Rein TAARAMAE,Estonia,1,+0,"COFIDIS, SOLUTIONS CREDITS"
88,Tony MARTIN,Germany,1,+0,OMEGA PHARMA - QUICK-STEP
89,Daniel NAVARRO GARCIA,Spain,1,+0,"COFIDIS, SOLUTIONS CREDITS"
90,Yukiya ARASHIRO,Japan,1,+0,TEAM EUROPCAR
91,Jurgen ROELANDTS,Belgium,1,+0,LOTTO
92,John DEGENKOLB,Germany,1,+0,TEAM GIANT-SHIMANO
93,Maarten WYNANTS,Belgium,1,+0,BELKIN
94,Arnold JEANNESSON,France,1,+0,FDJ
95,Roy CURVERS,Netherlands,1,+0,TEAM GIANT-SHIMANO
96,Benjamin KING,United States,1,+0,GARMIN
97,Alexandre PICHOT,France,1,+0,TEAM EUROPCAR
98,Jean-Marc BIDEAU,France,1,+0,BRETAGNE-SECHE ENVIRONNEMENT
99,Luis Angel MATE MARDONES,Spain,1,+0,"COFIDIS, SOLUTIONS CREDITS"
100,Jérémy ROY,France,1,+0,FDJ
