altitude (m),StageNum,TotalDistance
35.8,1,0
46.2,1,8.85957
63,1,17.89508
102.2,1,25.12574
183,1,30.85934
169.4,1,36.9191
192.4,1,44.16485
168.6,1,51.20038
196.2,1,58.19069
272.8,1,65.33222
269,1,69.84451
148.4,1,77.2389
216.4,1,82.60383
216.6,1,89.78476
219.2,1,96.81151
390.2,1,100.48971
472.4,1,105.41784
233.6,1,111.21163
212.8,1,117.26241
168.4,1,123.91656
346.2,1,127.61863
258.8,1,134.09365
96,1,140.105
108.2,1,146.70823
62.8,1,154.42006
26.8,1,161.55949
7.4,1,169.83012
42.4,1,177.93057
53.4,1,185.91208
12.4,2,193.11352
29.8,2,201.23483
40.4,2,208.25962
72.6,2,212.30041
106,2,216.81343
141.2,2,220.77985
210,2,225.18306
161.4,2,230.68488
250.8,2,233.67656
255.2,2,237.80843
99.6,2,242.71369
148.6,2,246.24395
213.2,2,249.15487
93.4,2,256.05351
161.2,2,260.27373
197,2,263.44603
226,2,266.22399
224.6,2,268.75212
333.2,2,270.38134
416.4,2,272.77275
234.2,2,277.10002
105.2,2,282.79024
208,2,285.39826
316.8,2,288.03351
316,2,292.69764
140.2,2,297.97891
237.8,2,300.13109
72.6,2,304.94246
202,2,306.88209
101,2,311.88548
95.8,2,317.25094
135,2,321.73194
217.6,2,325.76904
326.6,2,328.04687
443.2,2,329.22944
377,2,332.20855
277.8,2,336.64154
383.8,2,339.83939
352.6,2,344.28037
196.4,2,349.77361
266.2,2,352.11109
224.4,2,354.58523
330.6,2,356.56554
288.2,2,360.16324
336.2,2,362.1591
110,2,366.31937
192.2,2,367.83961
143.4,2,370.41618
101.6,2,373.76663
43.4,2,377.63412
72.6,2,381.70219
41.8,2,383.8242
13,3,391.23233
9.2,3,393.45157
15,3,395.72163
14.8,3,398.82514
21.4,3,401.24209
42.6,3,403.67632
42,3,406.4318
67.4,3,409.16205
63.8,3,412.15516
105.2,3,414.3316
80.4,3,417.50994
73.8,3,420.8234
69.2,3,423.6936
85.8,3,426.29371
63.6,3,429.22483
65.6,3,432.01309
45.8,3,434.93485
69.6,3,437.43275
58.4,3,441.85948
60.2,3,447.36726
52.8,3,453.85992
30.6,3,458.42481
45.2,3,463.47653
24.2,3,469.4502
58.6,3,474.87736
40,3,480.65115
49.4,3,485.50932
57.2,3,490.44872
86.6,3,495.3576
99.6,3,502.26262
64.2,3,508.52854
8.8,3,514.89358
-1.8,3,522.37831
-9.2,3,530.26478
-5.2,3,535.82784
0.4,4,545.2992
34,4,551.6787
56.6,4,556.81394
3.8,4,561.88487
19.2,4,568.99011
67.8,4,574.93104
131.2,4,578.12052
134.8,4,582.10997
144.4,4,587.46446
181,4,592.11617
148.2,4,598.93358
40.4,4,604.61669
96.6,4,608.85676
28.4,4,613.71396
24.6,4,620.42451
34.4,4,627.85061
65,4,633.57662
128.6,4,636.43334
38.2,4,641.07882
38.2,4,647.98579
75,4,653.69123
60.4,4,658.59795
73.8,4,661.85985
17.8,4,668.69059
18,4,679.46533
41.6,4,687.22997
18.8,4,694.25895
28.6,4,701.57819
18.6,5,713.1739
35.2,5,720.63996
29,5,730.08027
25.6,5,738.88323
23.2,5,746.77227
25.6,5,753.55437
61.6,5,759.21653
39.8,5,765.48593
38.2,5,773.70317
32.4,5,782.80041
40.2,5,791.64958
49,5,800.79526
48.8,5,808.56803
61.8,5,817.54846
51,5,827.02017
34.4,5,835.2616
28,5,843.49851
26.2,5,851.84073
85,6,858.25669
100.4,6,863.82921
116.2,6,869.10831
119.8,6,875.50937
129.2,6,881.08186
122.6,6,887.39796
71.2,6,891.78512
53.4,6,896.48598
81.6,6,903.54159
70.6,6,909.38463
75.2,6,916.98973
75.4,6,925.3401
83,6,933.96038
62.6,6,939.45222
56.2,6,946.91652
62.8,6,952.96018
70.6,6,959.16545
122.2,6,963.15595
83.2,6,968.85102
75.8,6,974.53963
156.2,6,977.94336
176.8,6,983.89911
166,6,990.79569
194.8,6,997.21425
78.6,6,1003.02191
71.8,6,1009.95393
187.6,6,1012.18891
110.8,6,1016.17134
189.8,6,1020.01923
102.8,6,1025.58351
94,6,1032.4462
102.4,6,1038.87338
99,6,1046.41742
73.6,7,1055.06694
78.2,7,1064.48957
87.2,7,1069.81516
79.8,7,1074.79066
129.4,7,1080.01865
150.4,7,1087.44915
166,7,1094.82019
169.8,7,1101.4375
189.4,7,1106.1123
151.2,7,1113.09852
147.8,7,1118.17247
229.2,7,1122.44335
172.8,7,1127.42447
212.8,7,1132.40035
200.2,7,1136.76235
259.6,7,1140.6976
296,7,1143.75388
226.6,7,1149.41402
203.6,7,1156.88654
224.2,7,1162.51835
328.2,7,1164.75332
354.4,7,1169.08585
303.2,7,1174.35911
252.8,7,1180.10476
245.6,7,1185.70665
233,7,1194.6021
254.6,7,1201.45392
233.4,7,1207.77906
220,7,1215.0275
250.2,7,1219.36766
265.4,7,1222.94924
234.2,7,1228.88086
244.4,7,1234.89025
223.8,7,1240.70381
202,7,1248.05344
267.6,7,1253.43072
278.2,7,1258.59211
261.6,7,1263.39646
385,7,1265.87957
251.2,7,1272.06127
284.6,7,1276.76711
242,7,1279.71673
220.6,8,1285.34471
210.4,8,1292.2331
272.4,8,1297.83905
223.4,8,1303.60513
250.4,8,1312.75281
262.4,8,1321.20574
307.2,8,1326.00424
318.8,8,1330.28941
285.8,8,1336.25252
375.4,8,1339.58496
301.2,8,1344.77534
314.8,8,1349.4688
314.8,8,1356.42752
344,8,1363.40144
349.6,8,1369.74437
343,8,1374.5934
348.2,8,1381.39426
359.4,8,1388.51109
396.4,8,1395.26642
411.6,8,1403.50082
424.2,8,1412.69505
540.8,8,1418.45324
719.8,8,1421.20665
841.4,8,1426.14713
803,8,1430.99658
857.6,8,1435.67392
718.4,8,1441.15586
820,9,1446.1011
1030.2,9,1449.94605
1165.2,9,1455.42713
1221,9,1461.68625
1018.8,9,1468.41497
660.2,9,1474.30518
731.6,9,1478.70897
894.4,9,1483.52261
960.6,9,1489.00036
711.4,9,1495.22725
445.4,9,1500.48421
285.2,9,1507.52027
469,9,1510.24597
623,9,1513.1363
401.2,9,1517.90574
278.2,9,1524.0701
487.8,9,1526.82661
583.8,9,1530.84529
382.6,9,1536.43328
473.8,9,1541.17838
463.6,9,1547.27058
640.8,9,1552.29942
842.2,9,1554.92916
1016.4,9,1558.46325
1101.8,9,1563.37856
1137.2,9,1570.34614
1028.2,9,1577.29134
1005.4,9,1584.42822
839.4,9,1591.60102
362,9,1598.74353
277,9,1607.05837
215.5,10,1617.27659
215.7,10,1625.61746
242,10,1632.22889
359.6,10,1635.38074
478.5,10,1638.23981
640.1,10,1640.83789
580.4,10,1644.72865
331.2,10,1649.00902
355.8,10,1653.71908
547,10,1658.33424
683.3,10,1660.44337
876.2,10,1662.544
1078.2,10,1665.35318
989.5,10,1669.49145
792.3,10,1673.6064
626.6,10,1677.95922
829,10,1680.11008
