latitude,longitude,altitude (m),slope (%),distance (km),name,StageNum,TotalDistance
52.07908,5.1315,1.6,2.2,2.999,Etape 01 - Utrecht / Utrecht,1,2.999
52.09602,5.14341,-1,0,7.888,Etape 01 - Utrecht / Utrecht,1,7.888
52.07813,5.11521,2.4,-0.2,11.59,Etape 01 - Utrecht / Utrecht,1,11.59
52.07914,5.119,2.1,0.4,1.542,Etape 02 - Utrecht / Zélande,2,15.304
52.09313,5.12163,8.1,,4.331,Etape 02 - Utrecht / Zélande,2,18.093
52.08124,5.12584,2.9,,7.63,Etape 02 - Utrecht / Zélande,2,21.392
52.07325,5.13762,4.3,-1.8,11.314,Etape 02 - Utrecht / Zélande,2,25.076
52.10216,5.14388,3,1.3,14.85,Etape 02 - Utrecht / Zélande,2,28.612
52.1081,5.09647,3.1,,18.884,Etape 02 - Utrecht / Zélande,2,32.646
52.09355,5.06938,2,2.1,21.804,Etape 02 - Utrecht / Zélande,2,35.566
52.08154,5.04429,2.6,3.5,24.382,Etape 02 - Utrecht / Zélande,2,38.144
52.08398,5.00311,-1.8,-1.4,29.026,Etape 02 - Utrecht / Zélande,2,42.788
52.06385,5.0217,-1.9,-4.2,33.039,Etape 02 - Utrecht / Zélande,2,46.801
52.05184,4.96327,0.5,-0.7,37.6,Etape 02 - Utrecht / Zélande,2,51.362
52.03336,4.93398,-0.1,0.4,40.805,Etape 02 - Utrecht / Zélande,2,54.567
52.01724,4.87358,-2,1.2,45.648,Etape 02 - Utrecht / Zélande,2,59.41
52.01493,4.83512,-1,-2.1,48.717,Etape 02 - Utrecht / Zélande,2,62.479
52.00287,4.78786,1.7,2.7,52.552,Etape 02 - Utrecht / Zélande,2,66.314
52.00233,4.74968,-0.4,1.2,55.362,Etape 02 - Utrecht / Zélande,2,69.124
52.00934,4.71594,1,-2.4,58.237,Etape 02 - Utrecht / Zélande,2,71.999
52.01958,4.6835,-3.4,-0.4,61.666,Etape 02 - Utrecht / Zélande,2,75.428
52.02212,4.66504,-4.4,0.1,63.599,Etape 02 - Utrecht / Zélande,2,77.361
52.03788,4.64578,-5,0,66.148,Etape 02 - Utrecht / Zélande,2,79.91
52.02303,4.61152,-5.5,1.2,69.439,Etape 02 - Utrecht / Zélande,2,83.201
51.98876,4.60016,-6,0,73.871,Etape 02 - Utrecht / Zélande,2,87.633
51.97,4.62517,-3.4,,76.875,Etape 02 - Utrecht / Zélande,2,90.637
51.92786,4.57332,-1,2.1,82.951,Etape 02 - Utrecht / Zélande,2,96.713
51.91457,4.5338,3.4,-2.1,86.341,Etape 02 - Utrecht / Zélande,2,100.103
51.9124,4.48223,8.6,,90.474,Etape 02 - Utrecht / Zélande,2,104.236
51.91047,4.48311,1.3,1.6,93.647,Etape 02 - Utrecht / Zélande,2,107.409
51.89419,4.47969,10.8,,96.766,Etape 02 - Utrecht / Zélande,2,110.528
51.86809,4.44314,-1.2,0.1,100.941,Etape 02 - Utrecht / Zélande,2,114.703
51.86397,4.35851,1.3,,107.313,Etape 02 - Utrecht / Zélande,2,121.075
51.85539,4.30376,2.1,0.9,111.66,Etape 02 - Utrecht / Zélande,2,125.422
51.86753,4.22522,0.1,,117.602,Etape 02 - Utrecht / Zélande,2,131.364
51.83526,4.15091,1,0.6,123.869,Etape 02 - Utrecht / Zélande,2,137.631
51.83224,4.10161,-1.1,2.1,127.388,Etape 02 - Utrecht / Zélande,2,141.15
51.8486,4.08815,0.3,-3.7,129.936,Etape 02 - Utrecht / Zélande,2,143.698
51.80991,4.00147,-1.6,-2.2,137.997,Etape 02 - Utrecht / Zélande,2,151.759
51.81386,3.93912,1,1.5,143.103,Etape 02 - Utrecht / Zélande,2,156.865
51.82046,3.9062,1.3,3.2,146.849,Etape 02 - Utrecht / Zélande,2,160.611
51.79244,3.88187,3,4.5,151.528,Etape 02 - Utrecht / Zélande,2,165.29
51.75599,3.83337,0.2,-0.1,157.136,Etape 02 - Utrecht / Zélande,2,170.898
51.73443,3.81031,-1,0,160.721,Etape 02 - Utrecht / Zélande,2,174.483
