Rank,Name,Country,Stage,Gap,Team
1,Jonathan CASTROVIEJO NICOLAS,Spain,1,+0,MOVISTAR TEAM
2,Alejandro VALVERDE BELMONTE,Spain,1,+0,MOVISTAR TEAM
3,Andrey AMADOR BAKKAZAKOVA,Costa Rica,1,+0,MOVISTAR TEAM
4,Imanol ERVITI,Spain,1,+0,MOVISTAR TEAM
5,Javier MORENO BAZAN,Spain,1,+0,MOVISTAR TEAM
6,Nairo Alexander QUINTANA ROJAS,Colombia,1,+0,MOVISTAR TEAM
7,Gorka IZAGUIRRE INSAUSTI,Spain,1,+0,MOVISTAR TEAM
8,Adriano MALORI,Italy,1,+4,MOVISTAR TEAM
9,José HERRADA LOPEZ,Spain,1,+6,MOVISTAR TEAM
10,Damiano CARUSO,Italy,1,+6,CANNONDALE
11,Peter SAGAN,Slovakia,1,+6,CANNONDALE
12,Alessandro DE MARCHI,Italy,1,+6,CANNONDALE
13,Maciej BODNAR,Poland,1,+6,CANNONDALE
14,Oscar GATTO,Italy,1,+6,CANNONDALE
15,Michael MATTHEWS,Australia,1,+6,ORICA GREENEDGE
16,Simon CLARKE,Australia,1,+6,ORICA GREENEDGE
17,Adam YATES,Great Britain,1,+6,ORICA GREENEDGE
18,Ivan SANTAROMITA,Italy,1,+6,ORICA GREENEDGE
19,Jhoan Esteban CHAVES RUBIO,Colombia,1,+6,ORICA GREENEDGE
20,Fabian CANCELLARA,Switzerland,1,+9,TREK FACTORY RACING
21,Haimar ZUBELDIA AGIRRE,Spain,1,+9,TREK FACTORY RACING
22,Fabio FELLINE,Italy,1,+9,TREK FACTORY RACING
23,Bob JUNGELS,Luxembourg,1,+9,TREK FACTORY RACING
24,Jesse SERGENT,New Zealand,1,+9,TREK FACTORY RACING
25,Julian David ARREDONDO MORENO,Colombia,1,+9,TREK FACTORY RACING
26,Jasper STUYVEN,Belgium,1,+9,TREK FACTORY RACING
27,George BENNETT,New Zealand,1,+9,CANNONDALE
28,Gianluca BRAMBILLA,Italy,1,+11,OMEGA PHARMA - QUICK-STEP
29,Pieter SERRY,Belgium,1,+11,OMEGA PHARMA - QUICK-STEP
30,Rigoberto URAN URAN,Colombia,1,+11,OMEGA PHARMA - QUICK-STEP
31,Tom BOONEN,Belgium,1,+11,OMEGA PHARMA - QUICK-STEP
32,Tony MARTIN,Germany,1,+11,OMEGA PHARMA - QUICK-STEP
33,Wouter POELS,Netherlands,1,+11,OMEGA PHARMA - QUICK-STEP
34,Carlos VERONA QUINTANILLA,Spain,1,+11,OMEGA PHARMA - QUICK-STEP
