latitude,longitude,altitude (m),distance (km),distance_interval (m),StageNum,TotalDistance
36.483062,-4.954732,5.2,0,0,1,0
36.505748,-4.913461,2.6,5.001,15.99,1,5.00146
36.648505,-4.608174,211,1.772,16.92,2,9.21474
36.653261,-4.656753,240.2,6.598,14.53,2,14.04049
36.643494,-4.698921,202.6,11.178,30.62,2,18.62012
36.66392,-4.746294,156.4,16.597,9.18,2,24.03949
36.675627,-4.78123,124.2,21.326,12.19,2,28.76869
36.685187,-4.818252,152.8,25.489,7.3,2,32.93127
36.693428,-4.867853,199,30.827,28.43,2,38.26929
36.72381,-4.868514,328.8,35.534,7.95,2,42.97678
36.740431,-4.84451,363.6,39.165,6.34,2,46.60775
36.765896,-4.831086,353.6,43.263,8.51,2,50.70568
36.768831,-4.797712,213.2,48.552,13.59,2,55.99436
36.767445,-4.74143,124.6,53.915,16.46,2,61.35721
36.775071,-4.708452,113.8,57.923,11.99,2,65.36589
36.804394,-4.698631,113.6,61.76,9.59,2,69.20222
36.825015,-4.698328,172,64.994,6.9,2,72.43621
36.849827,-4.714413,158,68.653,6.23,2,76.09587
36.870979,-4.722469,167.4,72.066,6.68,2,79.50874
36.887882,-4.743504,185.4,75.416,5.31,2,82.85903
36.904594,-4.761456,202.8,78.938,6.81,2,86.38073
36.911424,-4.785392,259.4,81.98,6.84,2,89.42317
36.912267,-4.803488,359.2,84.495,5.7,2,91.93765
36.935791,-4.80713,326,88.206,14.46,2,95.64841
36.950915,-4.800777,420.4,90.823,4.94,2,98.26561
36.972872,-4.818066,398.8,94.355,7.02,2,101.79818
36.963953,-4.852249,371.4,98.354,15.58,2,105.79649
36.932797,-4.860527,392.8,102.468,16.54,2,109.91053
36.896997,-4.847387,346.2,107.465,11.56,2,114.90754
36.873778,-4.838311,444.4,110.51,5.25,2,117.9524
36.845788,-4.818924,398.8,114.766,23.96,2,122.20898
36.803021,-4.768351,185.4,121.816,14.66,2,129.2582
36.7719,-4.734271,110,127.108,10.9,2,134.55102
36.785539,-4.70956,103.2,131.554,14.67,2,138.99721
36.819238,-4.701649,130.4,136.214,9.66,2,143.6566
36.841522,-4.707349,190.6,139.719,14.54,2,147.16152
36.868846,-4.719392,158.8,143.941,15.33,2,151.38364
36.887868,-4.743858,193.6,147.7,8.04,2,155.14289
36.909061,-4.764057,207.6,151.798,14.92,2,159.24029
36.908933,-4.788755,307.6,155.122,8.91,2,162.56407
36.897626,-4.78433,457.2,156.691,5.42,2,164.13382
36.552445,-4.686789,39.2,0.319,11.95,3,166.0821
36.540058,-4.64168,24.2,5.009,11,3,170.77169
36.556232,-4.62732,19.2,7.832,7.92,3,173.59426
36.575545,-4.636763,110.6,10.296,4.63,3,176.05835
36.587537,-4.636951,232.2,11.694,3.74,3,177.45698
36.598106,-4.632259,368.8,13.18,3.7,3,178.94222
36.59618,-4.657901,415.2,16.139,12.15,3,181.90133
36.605574,-4.684942,431.8,19.245,7.72,3,185.008
36.632539,-4.698076,262.4,23.901,15.81,3,189.66407
36.659505,-4.673037,121.8,28.426,17.27,3,194.1885
36.687126,-4.652501,123.2,32.059,10.16,3,197.82204
36.711415,-4.635041,69.6,35.848,12,3,201.61072
36.736906,-4.607886,29.6,40.03,11.95,3,205.79275
36.733223,-4.562446,39.4,44.467,9.12,3,210.22969
36.719524,-4.519087,39.8,49,11.79,3,214.76297
36.726609,-4.480639,72.4,53.002,10.64,3,218.76532
36.735253,-4.435808,50.6,57.581,13.4,3,223.34441
36.739282,-4.412149,118.8,60.621,6.26,3,226.38422
36.756716,-4.408425,231.6,62.908,6.01,3,228.6714
36.766729,-4.399914,348.4,64.842,9.11,3,230.6045
36.771201,-4.37901,464.8,67.08,8.43,3,232.84269
36.775061,-4.378469,574.8,69.264,5.77,3,235.02685
36.792417,-4.382693,678.2,71.96,7.02,3,237.72355
36.807267,-4.377726,816.8,74.047,5.19,3,239.81051
36.820376,-4.353188,869.4,77.29,9.05,3,243.05277
36.801427,-4.31471,717,82.324,18.85,3,248.087
36.801903,-4.284089,826.8,85.838,9.23,3,251.60095
36.833802,-4.273805,586.8,90.768,8,3,256.53088
36.842585,-4.249783,532.4,94.877,19.22,3,260.64017
36.849067,-4.211847,191.8,100.338,13.66,3,266.10052
36.825121,-4.183989,95.2,105.493,16.93,3,271.25583
36.80697,-4.14193,64.8,110.458,15.98,3,276.22029
36.781957,-4.111006,44.2,115.389,12.99,3,281.15226
36.745433,-4.098687,28.4,120.071,15.03,3,285.83342
36.726274,-4.13288,20.4,124.155,11.94,3,289.91753
36.71753,-4.175631,22.2,128.143,9.41,3,293.90566
36.714153,-4.216967,17.6,131.898,9.74,3,297.66052
36.712104,-4.259773,15.4,135.739,11.66,3,301.50184
36.71644,-4.302868,14.2,139.803,17.36,3,305.56646
36.718963,-4.337003,49.8,143.673,6.16,3,309.43569
36.730089,-4.366685,76.8,147.33,7.88,3,313.09336
36.740091,-4.399541,117.2,150.885,11.99,3,316.64845
36.71604,-4.427401,8.2,156.198,11.07,3,321.96065
36.39515,-5.200334,10.8,3.339,12.28,4,326.45225
36.37613,-5.223422,11.2,6.43,7.45,4,329.54327
36.35398,-5.233982,15.4,9.1,7.64,4,332.21307
36.330471,-5.241272,12,11.801,7.98,4,334.91418
36.3118,-5.251677,21.4,14.391,9.36,4,337.50484
36.307302,-5.269732,78.6,16.305,4.93,4,339.41844
36.293582,-5.298053,10,19.733,5.8,4,342.84683
36.282047,-5.31284,60.4,21.805,4.98,4,344.91829
36.263476,-5.324991,69,24.829,6.06,4,347.94233
36.240723,-5.342336,149.4,28.171,11.41,4,351.28481
36.212483,-5.381872,87.2,33.141,8.37,4,356.25458
36.23208,-5.40328,46,37.223,8.19,4,360.33675
36.223984,-5.443611,11.4,41.357,11.34,4,364.46978
36.213012,-5.456655,84.2,44.122,3.25,4,367.23526
36.205766,-5.474801,76,47.167,6.78,4,370.27999
36.204129,-5.504048,69.4,50.62,15.95,4,373.73268
36.207601,-5.53719,48.8,55.216,12.19,4,378.32894
36.227133,-5.571019,110.6,59.033,9.87,4,382.14634
36.262683,-5.583665,98.2,63.407,11.69,4,386.51955
