Name,ContryCode,Team,Stage,Rank,Total Time,Gap,gap(s),Country
DENNIS Rohan,AUS,BMC RACING TEAM,1,1,14' 56'',0,0,Australia
MARTIN Tony,GER,ETIXX-QUICK STEP,1,2,15' 01'',+ 00' 05'',5,Germany
CANCELLARA Fabian,SUI,TREK FACTORY RACING,1,3,15' 02'',+ 00' 06'',6,Switzerland
DUMOULIN Tom,NED,TEAM GIANT-ALPECIN,1,4,15' 04'',+ 00' 08'',8,Netherlands
VAN EMDEN Jos,NED,TEAM LOTTO NL - JUMBO,1,5,15' 11'',+ 00' 15'',15,Netherlands
CASTROVIEJO NICOLAS Jonathan,ESP,MOVISTAR TEAM,1,6,15' 19'',+ 00' 23'',23,Spain
BRÄNDLE Matthias,AUT,IAM CYCLING,1,7,15' 19'',+ 00' 23'',23,Austria
MALORI Adriano,ITA,MOVISTAR TEAM,1,8,15' 25'',+ 00' 29'',29,Italy
KELDERMAN Wilco,NED,TEAM LOTTO NL - JUMBO,1,9,15' 26'',+ 00' 30'',30,Netherlands
CUMMINGS Stephen,GBR,MTN-QHUBEKA,1,10,15' 28'',+ 00' 32'',32,Great Britain
GESINK Robert,NED,TEAM LOTTO NL - JUMBO,1,11,15' 29'',+ 00' 33'',33,Netherlands
THOMAS Geraint,GBR,TEAM SKY,1,12,15' 29'',+ 00' 33'',33,Great Britain
DOWSETT Alex,GBR,MOVISTAR TEAM,1,13,15' 32'',+ 00' 36'',36,Great Britain
MOLLEMA Bauke,NED,TREK FACTORY RACING,1,14,15' 33'',+ 00' 37'',37,Netherlands
JUNGELS Bob,LUX,TREK FACTORY RACING,1,15,15' 34'',+ 00' 38'',38,Luxembourg
VAN BAARLE Dylan,NED,TEAM CANNONDALE-GARMIN,1,16,15' 34'',+ 00' 38'',38,Netherlands
URAN URAN Rigoberto,COL,ETIXX-QUICK STEP,1,17,15' 36'',+ 00' 40'',40,Colombia
PINOT Thibaut,FRA,FDJ,1,18,15' 37'',+ 00' 41'',41,France
SAGAN Peter,SVK,TINKOFF-SAXO,1,19,15' 37'',+ 00' 41'',41,Slovakia
VAN GARDEREN Tejay,USA,BMC RACING TEAM,1,20,15' 38'',+ 00' 42'',42,United States of America
KONIG Leopold,CZE,TEAM SKY,1,21,15' 39'',+ 00' 43'',43,Czech Republic
NIBALI Vincenzo,ITA,ASTANA PRO TEAM,1,22,15' 39'',+ 00' 43'',43,Italy
BOOM Lars,NED,ASTANA PRO TEAM,1,23,15' 40'',+ 00' 44'',44,Netherlands
OSS Daniel,ITA,BMC RACING TEAM,1,24,15' 40'',+ 00' 44'',44,Italy
TUFT Svein,CAN,ORICA GREENEDGE,1,25,15' 41'',+ 00' 45'',45,Canada
DEGENKOLB John,GER,TEAM GIANT-ALPECIN,1,26,15' 41'',+ 00' 45'',45,Germany
WESTRA Lieuwe,NED,ASTANA PRO TEAM,1,27,15' 41'',+ 00' 45'',45,Netherlands
STYBAR Zdenek,CZE,ETIXX-QUICK STEP,1,28,15' 41'',+ 00' 45'',45,Czech Republic
CHAVANEL Sylvain,FRA,IAM CYCLING,1,29,15' 41'',+ 00' 45'',45,France
TAARAMÄE Rein,EST,ASTANA PRO TEAM,1,30,15' 41'',+ 00' 45'',45,Estonia
KRUIJSWIJK Steven,NED,TEAM LOTTO NL - JUMBO,1,31,15' 41'',+ 00' 45'',45,Netherlands
DURBRIDGE Luke,AUS,ORICA GREENEDGE,1,32,15' 42'',+ 00' 46'',46,Australia
YATES Simon,GBR,ORICA GREENEDGE,1,33,15' 42'',+ 00' 46'',46,Great Britain
ROGERS Michael,AUS,TINKOFF-SAXO,1,34,15' 43'',+ 00' 47'',47,Australia
ROY Jérémy,FRA,FDJ,1,35,15' 43'',+ 00' 47'',47,France
VANMARCKE Sep,BEL,TEAM LOTTO NL - JUMBO,1,36,15' 45'',+ 00' 49'',49,Belgium
ELMIGER Martin,SUI,IAM CYCLING,1,37,15' 46'',+ 00' 50'',50,Switzerland
VAN AVERMAET Greg,BEL,BMC RACING TEAM,1,38,15' 46'',+ 00' 50'',50,Belgium
FROOME Christopher,GBR,TEAM SKY,1,39,15' 46'',+ 00' 50'',50,Great Britain
COPPEL Jérôme,FRA,IAM CYCLING,1,40,15' 47'',+ 00' 51'',51,France
IZAGIRRE INSAUSTI Gorka,ESP,MOVISTAR TEAM,1,41,15' 49'',+ 00' 53'',53,Spain
MARTENS Paul,GER,TEAM LOTTO NL - JUMBO,1,42,15' 51'',+ 00' 55'',55,Germany
VALVERDE BELMONTE Alejandro,ESP,MOVISTAR TEAM,1,43,15' 52'',+ 00' 56'',56,Spain
IMPEY Daryl,RSA,ORICA GREENEDGE,1,44,15' 53'',+ 00' 57'',57,South Africa
GRIVKO Andriy,UKR,ASTANA PRO TEAM,1,45,15' 53'',+ 00' 57'',57,Ukraine
CONTADOR Alberto,ESP,TINKOFF-SAXO,1,46,15' 54'',+ 00' 58'',58,Spain
MATTHEWS Michael,AUS,ORICA GREENEDGE,1,47,15' 54'',+ 00' 58'',58,Australia
GALLOPIN Tony,FRA,LOTTO-SOUDAL,1,48,15' 54'',+ 00' 58'',58,France
